Ship,Class,Type,Engineering,Experimental,ShieldStrength,RegenRate,ExpRes,KinRes,ThermRes
Adder,1,Bi-Weave,Reinforced,Fast Charge,52.2637,2.07,0.4238,0.5085,1.017
Adder,1,Bi-Weave,Reinforced,Force Block,50.6934,1.8,0.4175,0.4609,1.002
Adder,1,Bi-Weave,Reinforced,Hi-Cap,55.3984,1.8,0.4175,0.501,1.002
Adder,1,Bi-Weave,Reinforced,Thermo Block,50.6934,1.8,0.4175,0.501,0.9218
Adder,1,Bi-Weave,Reinforced,Multi-weave,52.2637,1.8,0.405,0.486,0.9719
Adder,1,Bi-Weave,Thermal resistant,Fast Charge,37.8723,2.07,0.5075,0.7308,0.609
Adder,1,Bi-Weave,Thermal resistant,Force Block,36.7361,1.8,0.5,0.6624,0.6
Adder,1,Bi-Weave,Thermal resistant,Hi-Cap,40.1446,1.8,0.5,0.72,0.6
Adder,1,Bi-Weave,Thermal resistant,Thermo Block,36.7361,1.8,0.5,0.72,0.552
Adder,1,Bi-Weave,Thermal resistant,Multi-weave,37.8723,1.8,0.485,0.6984,0.582
Adder,1,Bi-Weave,Kinetic resistant,Fast Charge,37.8723,2.07,0.5075,0.3045,1.4007
Adder,1,Bi-Weave,Kinetic resistant,Force Block,36.7361,1.8,0.5,0.276,1.38
Adder,1,Bi-Weave,Kinetic resistant,Hi-Cap,40.1446,1.8,0.5,0.3,1.38
Adder,1,Bi-Weave,Kinetic resistant,Thermo Block,36.7361,1.8,0.5,0.3,1.2696
Adder,1,Bi-Weave,Kinetic resistant,Multi-weave,37.8723,1.8,0.485,0.291,1.3386
Adder,1,Normal,Reinforced,Fast Charge,77.1037,1.15,0.4238,0.5085,1.017
Adder,1,Normal,Reinforced,Force Block,74.7894,1,0.4175,0.4609,1.002
Adder,1,Normal,Reinforced,Hi-Cap,81.7324,1,0.4175,0.501,1.002
Adder,1,Normal,Reinforced,Thermo Block,74.7894,1,0.4175,0.501,0.9218
Adder,1,Normal,Reinforced,Multi-weave,77.1037,1,0.405,0.486,0.9719
Adder,1,Normal,Thermal resistant,Fast Charge,55.8723,1.15,0.5075,0.7308,0.609
Adder,1,Normal,Thermal resistant,Force Block,54.1961,1,0.5,0.6624,0.6
Adder,1,Normal,Thermal resistant,Hi-Cap,59.2246,1,0.5,0.72,0.6
